site,temp,salinity,nutrients,replicate,length
RP,22,10,CN,1,366.995
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,1,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,2,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,3,0
RP,22,10,CN,4,139.103
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,4,0
RP,22,10,CN,5,187.191
RP,22,10,CN,5,167.626
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,5,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,CN,6,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,1,0
RP,22,10,EN,2,84.441
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,2,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,3,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,4,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,5,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,10,EN,6,0
RP,22,20,CN,1,383.917
RP,22,20,CN,1,209.066
RP,22,20,CN,1,196.072
RP,22,20,CN,1,158.385
RP,22,20,CN,1,101.117
RP,22,20,CN,1,310.908
RP,22,20,CN,1,436.411
RP,22,20,CN,1,140.943
RP,22,20,CN,1,322.38
RP,22,20,CN,1,294.555
RP,22,20,CN,2,97.708
RP,22,20,CN,2,391.638
RP,22,20,CN,2,256.739
RP,22,20,CN,2,339.068
RP,22,20,CN,2,633.567
RP,22,20,CN,2,315.993
RP,22,20,CN,2,424.962
RP,22,20,CN,2,0
RP,22,20,CN,2,0
RP,22,20,CN,2,0
RP,22,20,CN,3,466.475
RP,22,20,CN,3,501.009
RP,22,20,CN,3,385.544
RP,22,20,CN,3,0
RP,22,20,CN,3,0
RP,22,20,CN,3,0
RP,22,20,CN,3,0
RP,22,20,CN,3,0
RP,22,20,CN,3,0
RP,22,20,CN,3,0
RP,22,20,CN,4,228.747
RP,22,20,CN,4,88.101
RP,22,20,CN,4,143.75
RP,22,20,CN,4,0
RP,22,20,CN,4,0
RP,22,20,CN,4,0
RP,22,20,CN,4,0
RP,22,20,CN,4,0
RP,22,20,CN,4,0
RP,22,20,CN,4,0
RP,22,20,CN,5,345.585
RP,22,20,CN,5,390.682
RP,22,20,CN,5,362.156
RP,22,20,CN,5,0
RP,22,20,CN,5,0
RP,22,20,CN,5,0
RP,22,20,CN,5,0
RP,22,20,CN,5,0
RP,22,20,CN,5,0
RP,22,20,CN,5,0
RP,22,20,CN,6,279.522
RP,22,20,CN,6,184.624
RP,22,20,CN,6,204.187
RP,22,20,CN,6,511.153
RP,22,20,CN,6,492.634
RP,22,20,CN,6,453.709
RP,22,20,CN,6,534.887
RP,22,20,CN,6,137.544
RP,22,20,CN,6,469.148
RP,22,20,CN,6,0
RP,22,20,EN,1,420.733
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,1,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,2,0
RP,22,20,EN,3,402.024
RP,22,20,EN,3,398.737
RP,22,20,EN,3,310.599
RP,22,20,EN,3,314.551
RP,22,20,EN,3,488.68
RP,22,20,EN,3,405.238
RP,22,20,EN,3,439.739
RP,22,20,EN,3,146.466
RP,22,20,EN,3,249.795
RP,22,20,EN,3,0
RP,22,20,EN,4,488.666
RP,22,20,EN,4,501.149
RP,22,20,EN,4,227.223
RP,22,20,EN,4,209.791
RP,22,20,EN,4,0
RP,22,20,EN,4,0
RP,22,20,EN,4,0
RP,22,20,EN,4,0
RP,22,20,EN,4,0
RP,22,20,EN,4,0
RP,22,20,EN,5,136.162
RP,22,20,EN,5,225.945
RP,22,20,EN,5,277.977
RP,22,20,EN,5,76.121
RP,22,20,EN,5,312.42
RP,22,20,EN,5,363.988
RP,22,20,EN,5,306.457
RP,22,20,EN,5,433.724
RP,22,20,EN,5,367.627
RP,22,20,EN,5,243.139
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,20,EN,6,0
RP,22,30,CN,1,488.198
RP,22,30,CN,1,229.581
RP,22,30,CN,1,565.888
RP,22,30,CN,1,334.89
RP,22,30,CN,1,331.071
RP,22,30,CN,1,301.367
RP,22,30,CN,1,337.126
RP,22,30,CN,1,429.105
RP,22,30,CN,1,430.96
RP,22,30,CN,1,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,2,0
RP,22,30,CN,3,550.072
RP,22,30,CN,3,285.03
RP,22,30,CN,3,584.554
RP,22,30,CN,3,369.487
RP,22,30,CN,3,0
RP,22,30,CN,3,0
RP,22,30,CN,3,0
RP,22,30,CN,3,0
RP,22,30,CN,3,0
RP,22,30,CN,3,0
RP,22,30,CN,4,404.022
RP,22,30,CN,4,495.672
RP,22,30,CN,4,589.469
RP,22,30,CN,4,492.456
RP,22,30,CN,4,270.379
RP,22,30,CN,4,718.779
RP,22,30,CN,4,597.482
RP,22,30,CN,4,442.351
RP,22,30,CN,4,0
RP,22,30,CN,4,0
RP,22,30,CN,5,393.37
RP,22,30,CN,5,533.289
RP,22,30,CN,5,332.488
RP,22,30,CN,5,647.44
RP,22,30,CN,5,237.036
RP,22,30,CN,5,161.749
RP,22,30,CN,5,424.473
RP,22,30,CN,5,83.711
RP,22,30,CN,5,781.007
RP,22,30,CN,5,503.703
RP,22,30,CN,6,200.823
RP,22,30,CN,6,759.818
RP,22,30,CN,6,524.396
RP,22,30,CN,6,295.427
RP,22,30,CN,6,452.563
RP,22,30,CN,6,177.255
RP,22,30,CN,6,528.152
RP,22,30,CN,6,431.575
RP,22,30,CN,6,0
RP,22,30,CN,6,0
RP,22,30,EN,1,488.218
RP,22,30,EN,1,335.57
RP,22,30,EN,1,290.17
RP,22,30,EN,1,582.28
RP,22,30,EN,1,421.084
RP,22,30,EN,1,157.605
RP,22,30,EN,1,466.111
RP,22,30,EN,1,282.137
RP,22,30,EN,1,462.23
RP,22,30,EN,1,0
RP,22,30,EN,2,448.925
RP,22,30,EN,2,458.065
RP,22,30,EN,2,595.838
RP,22,30,EN,2,372.629
RP,22,30,EN,2,260.982
RP,22,30,EN,2,292.512
RP,22,30,EN,2,636.622
RP,22,30,EN,2,414.305
RP,22,30,EN,2,0
RP,22,30,EN,2,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,3,0
RP,22,30,EN,4,439.423
RP,22,30,EN,4,344.433
RP,22,30,EN,4,640.452
RP,22,30,EN,4,371.669
RP,22,30,EN,4,316.175
RP,22,30,EN,4,199.021
RP,22,30,EN,4,415.102
RP,22,30,EN,4,365.146
RP,22,30,EN,4,345.745
RP,22,30,EN,4,431.423
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,5,0
RP,22,30,EN,6,592.898
RP,22,30,EN,6,569.765
RP,22,30,EN,6,473.492
RP,22,30,EN,6,679.833
RP,22,30,EN,6,397.496
RP,22,30,EN,6,453.851
RP,22,30,EN,6,374.547
RP,22,30,EN,6,521.215
RP,22,30,EN,6,208.21
RP,22,30,EN,6,327.51
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,1,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,2,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,3,0
RP,24,10,CN,4,75.999
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,4,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,5,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,CN,6,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,1,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,2,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,3,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,4,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,5,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,10,EN,6,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,1,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,2,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,3,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,4,0
RP,24,20,CN,5,164.708
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,5,0
RP,24,20,CN,6,249.813
RP,24,20,CN,6,192.415
RP,24,20,CN,6,182.578
RP,24,20,CN,6,0
RP,24,20,CN,6,0
RP,24,20,CN,6,0
RP,24,20,CN,6,0
RP,24,20,CN,6,0
RP,24,20,CN,6,0
RP,24,20,CN,6,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,1,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,2,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,3,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,4,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,5,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,20,EN,6,0
RP,24,30,CN,1,204.067
RP,24,30,CN,1,108.614
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,1,0
RP,24,30,CN,2,159.917
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,2,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,3,0
RP,24,30,CN,4,92.453
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,4,0
RP,24,30,CN,5,163.144
RP,24,30,CN,5,176.673
RP,24,30,CN,5,153.906
RP,24,30,CN,5,46.781
RP,24,30,CN,5,0
RP,24,30,CN,5,0
RP,24,30,CN,5,0
RP,24,30,CN,5,0
RP,24,30,CN,5,0
RP,24,30,CN,5,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,CN,6,0
RP,24,30,EN,1,313.888
RP,24,30,EN,1,138.705
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,1,0
RP,24,30,EN,2,132.763
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,2,0
RP,24,30,EN,3,157.474
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,3,0
RP,24,30,EN,4,0
RP,24,30,EN,4,0
