plate,germinated,apical_hairs,ungerminated,dead,notes
JR_28_05_01,0,0,0,50,
JR_28_05_02,0,0,0,12,
JR_28_05_03,0,0,0,50,
JR_28_05_04,0,0,0,50,
JR_28_05_05,0,0,0,50,
JR_28_05_06,0,0,0,50,
JR_28_15_01,0,0,0,50,
JR_28_15_02,0,0,0,50,
JR_28_15_03,0,0,0,50,
JR_28_15_04,0,0,0,50,
JR_28_15_05,0,0,0,50,
JR_28_15_06,0,0,0,50,
JR_28_30_01,0,0,0,50,
JR_28_30_02,0,0,0,50,
JR_28_30_03,0,0,0,50,
JR_28_30_04,0,0,0,50,lots of diatoms
JR_28_30_05,0,0,0,50,
JR_28_30_06,0,0,0,50,
JR_32_05_01,0,0,0,50,
JR_32_05_02,0,0,0,50,
JR_32_05_03,0,0,0,50,
JR_32_05_04,0,0,0,50,
JR_32_05_05,0,0,0,50,
JR_32_05_06,0,0,0,50,
JR_32_15_01,0,0,0,50,
JR_32_15_02,0,0,0,50,
JR_32_15_03,0,0,0,50,
JR_32_15_04,0,0,0,50,
JR_32_15_05,0,0,0,50,
JR_32_15_06,0,0,0,50,
JR_32_30_01,0,0,0,50,
JR_32_30_02,0,0,0,50,
JR_32_30_03,0,0,0,50,
JR_32_30_04,0,0,0,50,
JR_32_30_05,0,0,0,50,
JR_32_30_06,0,0,0,50,
JR_24_05_01,0,0,0,50,
JR_24_05_02,0,0,0,50,
JR_24_05_03,0,0,0,50,
JR_24_05_04,0,0,0,42,
JR_24_05_05,0,0,0,50,
JR_24_05_06,0,0,0,50,
JR_24_15_01,0,0,0,50,
JR_24_15_02,0,0,0,50,
JR_24_15_03,0,0,0,50,
JR_24_15_04,0,0,0,50,
JR_24_15_05,0,0,0,50,
JR_24_15_06,0,0,0,50,
JR_02_05_01,0,0,0,45,
JR_02_05_02,0,0,0,17,
JR_02_05_03,0,0,0,12,
JR_02_05_04,0,0,0,13,
JR_02_05_05,0,0,0,30,
JR_02_05_06,0,0,1,9,
JR_16_30_01,16,27,0,7,
JR_16_30_02,35,15,1,6,
JR_16_30_03,36,21,0,0,
JR_16_30_04,24,15,1,10,
JR_16_30_05,16,25,0,9,
JR_16_30_06,24,20,0,6,
JR_20_30_01,11,28,0,15,
JR_20_30_02,8,22,0,13,
JR_20_30_03,13,26,0,12,
JR_20_30_04,20,21,0,13,
JR_20_30_05,20,11,0,13,
JR_20_30_06,23,8,0,10,
JR_20_15_01,5,0,6,39,
JR_20_15_02,6,0,0,44,
JR_20_15_03,12,0,0,38,
JR_20_15_04,15,0,2,42,
JR_20_15_05,19,4,1,26,
JR_20_15_06,11,2,1,40,
JR_12_30_01,25,9,0,16,
JR_12_30_02,28,6,1,17,
JR_12_30_03,25,0,2,23,
JR_12_30_04,22,8,2,18,
JR_12_30_05,22,8,3,17,
JR_12_30_06,23,5,5,17,
JR_12_05_01,5,0,1,44,
JR_12_05_02,6,0,2,42,
JR_12_05_03,7,0,1,38,
JR_12_05_04,5,0,3,42,
JR_12_05_05,6,0,2,42,
JR_12_05_06,4,0,6,40,
JR_08_15_01,20,0,5,25,
JR_08_15_02,30,0,1,19,
JR_08_15_03,25,0,1,27,
JR_08_15_04,25,0,2,25,
JR_08_15_05,25,0,2,25,
JR_08_15_06,23,0,0,27,
JR_08_05_01,0,0,11,33,
JR_08_05_02,3,0,2,32,
JR_08_05_03,7,0,5,38,
JR_08_05_04,2,0,0,25,
JR_08_05_05,5,0,8,39,
JR_08_05_06,0,0,1,19,
JR_02_15_01,11,0,10,29,
JR_02_15_02,21,0,8,21,
JR_02_15_03,13,0,14,23,
JR_02_15_04,20,0,2,28,
JR_02_15_05,7,0,20,25,
JR_02_15_06,14,0,12,24,
JR_20_05_03,0,0,1,49,
JR_24_30_01,0,0,12,38,
JR_24_30_02,0,0,4,46,
JR_24_30_03,0,0,4,30,
JR_24_30_04,0,0,11,39,
JR_24_30_05,0,0,6,44,
JR_24_30_06,0,0,8,42,
JR_02_30_01,41,0,5,23,
JR_02_30_02,16,0,6,28,
JR_02_30_03,33,0,6,16,
JR_02_30_04,36,0,4,14,
JR_02_30_05,30,0,8,22,
JR_02_30_06,35,0,10,9,
JR_16_15_01,5,30,0,15,
JR_16_15_02,7,21,1,15,
JR_16_15_03,16,14,0,20,
JR_16_15_04,4,14,0,8,
JR_16_15_05,10,23,0,17,
JR_16_15_06,5,23,1,21,
JR_12_15_01,14,10,1,25,
JR_12_15_02,13,11,0,26,
JR_12_15_03,12,2,4,32,
JR_12_15_04,15,9,1,25,
JR_12_15_05,11,10,3,26,
JR_12_15_06,12,12,0,26,
JR_08_30_01,26,1,3,20,
JR_08_30_02,21,0,4,25,
JR_08_30_03,27,0,4,19,
JR_08_30_04,25,0,3,22,"two labelled as 'JR_08_30_05', one of them must be _04"
JR_08_30_05,29,0,4,17,
JR_08_30_06,17,0,3,30,
JR_16_05_01,1,0,2,47,
JR_16_05_02,7,0,0,43,
JR_16_05_03,5,0,0,46,
JR_16_05_04,5,0,0,45,
JR_16_05_05,2,0,0,48,
JR_16_05_06,2,0,1,47,
JR_20_05_01,1,0,1,48,
JR_20_05_02,0,0,0,50,
JR_20_05_04,1,0,1,9,
JR_20_05_05,0,0,0,50,
JR_20_05_06,0,0,0,50,